,Media Source,Compound,Positive,Negative,Neutral,Date,Tweets Ago,Tweet
12,BBC,0.3947,0.113,0.887,0.0,Sat Mar 31 21:15:00 +0000 2018,13,"RT @bbc5live: More parents are giving presents rather than Easter eggs to tackle obesity, according to new research🍫🍫

Are you rationing yo…"
13,BBC,-0.1511,0.0,0.883,0.117,Sat Mar 31 20:42:07 +0000 2018,14,"This seven-week-old jaguar is on a serious mission! 😼 

#BigCatsAboutTheHouse is available on @BBCiPlayer:… https://t.co/FlxS0N0syY"
14,BBC,0.5719,0.198,0.802,0.0,Sat Mar 31 18:37:18 +0000 2018,15,"RT @CBeebiesHQ: Eddie's ready, are you? 😁

Join him for a NEW #BedtimeStory 📚💤
 
He reads 'Big little Hippo' tonight at 6:50pm ✨ https://t.…"
15,BBC,0.5574,0.235,0.765,0.0,Sat Mar 31 18:02:02 +0000 2018,16,"From creation to hatching, David Attenborough reveals the wonder behind eggs. 🥚🐦 

Natural World: Attenborough's Wo… https://t.co/MEsvf2J89N"
16,BBC,-0.2023,0.136,0.739,0.125,Sat Mar 31 17:09:06 +0000 2018,17,What makes Raquel Meseguer want to lie down in public — no matter where she is?  https://t.co/I7DeEph5iD
17,BBC,0.0,0.0,1.0,0.0,Sat Mar 31 16:31:15 +0000 2018,18,"RT @BBCWthrWatchers: If this photo doesn't suggest 'Easter', then what does?  Ruthy has captured the moment in Nantmel, Powys. https://t.co…"
18,BBC,0.0,0.0,1.0,0.0,Sat Mar 31 16:15:07 +0000 2018,19,"Easter music and readings from the Chapel of @Kings_College, Cambridge. ⛪️ 🎶

Easter from King's | 6:15pm | @BBCTwo… https://t.co/IrttRAqpPA"
19,BBC,0.0,0.0,1.0,0.0,Sat Mar 31 15:43:37 +0000 2018,20,"RT @bbcthree: Someone's knitting cosy Easter postbox hats
https://t.co/XR2G6cj50y https://t.co/PsgJeP6f02"
20,BBC,0.7717,0.242,0.758,0.0,Sun Apr 01 12:19:34 +0000 2018,21,"RT @bbcweather: As the RAF celebrates 100 years since its formation, here is a rather serene view of this morning's weather at #RAF #Lossie…"
21,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 12:14:27 +0000 2018,22,Our favourite #AprilFoolsDay was when spaghetti grew on trees in 1957. https://t.co/qRGuM9NnRZ
22,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 12:00:24 +0000 2018,23,Could poetry be used as a form of therapy? https://t.co/pw2hBG3heY
23,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 11:23:47 +0000 2018,24,RT @BBCOne: How not to prank your family this Easter. https://t.co/SMXFIukYMJ
24,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 11:19:57 +0000 2018,25,RT @bbcpress: Julien lives! @TchekyKaryo reprises his role as #TheMissing's Julien Baptiste in gripping new @BBCOne drama #Baptiste: https:…
25,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 11:18:20 +0000 2018,26,RT @BBCFood: See how Mary Berry does Easter at her house: https://t.co/qzrkDoA9fS https://t.co/AOUIOo4tgr
26,BBC,0.8083,0.289,0.711,0.0,Sun Apr 01 11:04:05 +0000 2018,27,Why do we find chocolate so irresistible? 🍫 🤔 This is the secret reason why we love to eat it. 👉… https://t.co/C8FbJAZQ99
27,BBC,0.1695,0.085,0.915,0.0,Sun Apr 01 10:37:30 +0000 2018,28,RT @bbcpress: 🐰🐰🐰 #HappyEaster from @RealBasilBrush - don't forget to watch #GenerationGame tonight on @BBCOne at 8pm after you've finished…
28,BBC,0.4404,0.172,0.828,0.0,Sun Apr 01 10:27:03 +0000 2018,29,From traditional Easter lunch to laid-back seasonal feasts: @BBCFood have Easter entertaining covered. 🐣🍫🐰🍴 https://t.co/PT7uD9UIvn
29,BBC,0.6705,0.224,0.776,0.0,Sun Apr 01 10:03:08 +0000 2018,30,🍫🐣🎶 @Stormzy1's cover of Sweet Like Chocolate from the @BBCR1 Live Lounge is an eggs-cellent way to start your East… https://t.co/IHlTGrkmfv
30,BBC,0.6705,0.216,0.784,0.0,Sun Apr 01 09:24:05 +0000 2018,31,"""I feel like I'm part of something"". ❤️️ 👂🏼 🍺 Welcome to Deaf Pub, a place where members of the deaf community can… https://t.co/kRwHqCBUrI"
31,BBC,0.8126,0.712,0.288,0.0,Sun Apr 01 08:32:07 +0000 2018,32,❤️😢 Man's best friend. https://t.co/xE4rkcBJNv
32,BBC,0.3947,0.113,0.887,0.0,Sat Mar 31 21:15:00 +0000 2018,33,"RT @bbc5live: More parents are giving presents rather than Easter eggs to tackle obesity, according to new research🍫🍫

Are you rationing yo…"
33,BBC,-0.1511,0.0,0.883,0.117,Sat Mar 31 20:42:07 +0000 2018,34,"This seven-week-old jaguar is on a serious mission! 😼 

#BigCatsAboutTheHouse is available on @BBCiPlayer:… https://t.co/FlxS0N0syY"
34,BBC,0.5719,0.198,0.802,0.0,Sat Mar 31 18:37:18 +0000 2018,35,"RT @CBeebiesHQ: Eddie's ready, are you? 😁

Join him for a NEW #BedtimeStory 📚💤
 
He reads 'Big little Hippo' tonight at 6:50pm ✨ https://t.…"
35,BBC,0.5574,0.235,0.765,0.0,Sat Mar 31 18:02:02 +0000 2018,36,"From creation to hatching, David Attenborough reveals the wonder behind eggs. 🥚🐦 

Natural World: Attenborough's Wo… https://t.co/MEsvf2J89N"
36,BBC,-0.2023,0.136,0.739,0.125,Sat Mar 31 17:09:06 +0000 2018,37,What makes Raquel Meseguer want to lie down in public — no matter where she is?  https://t.co/I7DeEph5iD
37,BBC,0.0,0.0,1.0,0.0,Sat Mar 31 16:31:15 +0000 2018,38,"RT @BBCWthrWatchers: If this photo doesn't suggest 'Easter', then what does?  Ruthy has captured the moment in Nantmel, Powys. https://t.co…"
38,BBC,0.0,0.0,1.0,0.0,Sat Mar 31 16:15:07 +0000 2018,39,"Easter music and readings from the Chapel of @Kings_College, Cambridge. ⛪️ 🎶

Easter from King's | 6:15pm | @BBCTwo… https://t.co/IrttRAqpPA"
39,BBC,0.0,0.0,1.0,0.0,Sat Mar 31 15:43:37 +0000 2018,40,"RT @bbcthree: Someone's knitting cosy Easter postbox hats
https://t.co/XR2G6cj50y https://t.co/PsgJeP6f02"
40,BBC,0.7717,0.242,0.758,0.0,Sun Apr 01 12:19:34 +0000 2018,41,"RT @bbcweather: As the RAF celebrates 100 years since its formation, here is a rather serene view of this morning's weather at #RAF #Lossie…"
41,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 12:14:27 +0000 2018,42,Our favourite #AprilFoolsDay was when spaghetti grew on trees in 1957. https://t.co/qRGuM9NnRZ
42,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 12:00:24 +0000 2018,43,Could poetry be used as a form of therapy? https://t.co/pw2hBG3heY
43,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 11:23:47 +0000 2018,44,RT @BBCOne: How not to prank your family this Easter. https://t.co/SMXFIukYMJ
44,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 11:19:57 +0000 2018,45,RT @bbcpress: Julien lives! @TchekyKaryo reprises his role as #TheMissing's Julien Baptiste in gripping new @BBCOne drama #Baptiste: https:…
45,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 11:18:20 +0000 2018,46,RT @BBCFood: See how Mary Berry does Easter at her house: https://t.co/qzrkDoA9fS https://t.co/AOUIOo4tgr
46,BBC,0.8083,0.289,0.711,0.0,Sun Apr 01 11:04:05 +0000 2018,47,Why do we find chocolate so irresistible? 🍫 🤔 This is the secret reason why we love to eat it. 👉… https://t.co/C8FbJAZQ99
47,BBC,0.1695,0.085,0.915,0.0,Sun Apr 01 10:37:30 +0000 2018,48,RT @bbcpress: 🐰🐰🐰 #HappyEaster from @RealBasilBrush - don't forget to watch #GenerationGame tonight on @BBCOne at 8pm after you've finished…
48,BBC,0.4404,0.172,0.828,0.0,Sun Apr 01 10:27:03 +0000 2018,49,From traditional Easter lunch to laid-back seasonal feasts: @BBCFood have Easter entertaining covered. 🐣🍫🐰🍴 https://t.co/PT7uD9UIvn
49,BBC,0.6705,0.224,0.776,0.0,Sun Apr 01 10:03:08 +0000 2018,50,🍫🐣🎶 @Stormzy1's cover of Sweet Like Chocolate from the @BBCR1 Live Lounge is an eggs-cellent way to start your East… https://t.co/IHlTGrkmfv
50,BBC,0.6705,0.216,0.784,0.0,Sun Apr 01 09:24:05 +0000 2018,51,"""I feel like I'm part of something"". ❤️️ 👂🏼 🍺 Welcome to Deaf Pub, a place where members of the deaf community can… https://t.co/kRwHqCBUrI"
51,BBC,0.8126,0.712,0.288,0.0,Sun Apr 01 08:32:07 +0000 2018,52,❤️😢 Man's best friend. https://t.co/xE4rkcBJNv
52,BBC,0.3947,0.113,0.887,0.0,Sat Mar 31 21:15:00 +0000 2018,53,"RT @bbc5live: More parents are giving presents rather than Easter eggs to tackle obesity, according to new research🍫🍫

Are you rationing yo…"
53,BBC,-0.1511,0.0,0.883,0.117,Sat Mar 31 20:42:07 +0000 2018,54,"This seven-week-old jaguar is on a serious mission! 😼 

#BigCatsAboutTheHouse is available on @BBCiPlayer:… https://t.co/FlxS0N0syY"
54,BBC,0.5719,0.198,0.802,0.0,Sat Mar 31 18:37:18 +0000 2018,55,"RT @CBeebiesHQ: Eddie's ready, are you? 😁

Join him for a NEW #BedtimeStory 📚💤
 
He reads 'Big little Hippo' tonight at 6:50pm ✨ https://t.…"
55,BBC,0.5574,0.235,0.765,0.0,Sat Mar 31 18:02:02 +0000 2018,56,"From creation to hatching, David Attenborough reveals the wonder behind eggs. 🥚🐦 

Natural World: Attenborough's Wo… https://t.co/MEsvf2J89N"
56,BBC,-0.2023,0.136,0.739,0.125,Sat Mar 31 17:09:06 +0000 2018,57,What makes Raquel Meseguer want to lie down in public — no matter where she is?  https://t.co/I7DeEph5iD
57,BBC,0.0,0.0,1.0,0.0,Sat Mar 31 16:31:15 +0000 2018,58,"RT @BBCWthrWatchers: If this photo doesn't suggest 'Easter', then what does?  Ruthy has captured the moment in Nantmel, Powys. https://t.co…"
58,BBC,0.0,0.0,1.0,0.0,Sat Mar 31 16:15:07 +0000 2018,59,"Easter music and readings from the Chapel of @Kings_College, Cambridge. ⛪️ 🎶

Easter from King's | 6:15pm | @BBCTwo… https://t.co/IrttRAqpPA"
59,BBC,0.0,0.0,1.0,0.0,Sat Mar 31 15:43:37 +0000 2018,60,"RT @bbcthree: Someone's knitting cosy Easter postbox hats
https://t.co/XR2G6cj50y https://t.co/PsgJeP6f02"
60,BBC,0.7717,0.242,0.758,0.0,Sun Apr 01 12:19:34 +0000 2018,61,"RT @bbcweather: As the RAF celebrates 100 years since its formation, here is a rather serene view of this morning's weather at #RAF #Lossie…"
61,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 12:14:27 +0000 2018,62,Our favourite #AprilFoolsDay was when spaghetti grew on trees in 1957. https://t.co/qRGuM9NnRZ
62,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 12:00:24 +0000 2018,63,Could poetry be used as a form of therapy? https://t.co/pw2hBG3heY
63,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 11:23:47 +0000 2018,64,RT @BBCOne: How not to prank your family this Easter. https://t.co/SMXFIukYMJ
64,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 11:19:57 +0000 2018,65,RT @bbcpress: Julien lives! @TchekyKaryo reprises his role as #TheMissing's Julien Baptiste in gripping new @BBCOne drama #Baptiste: https:…
65,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 11:18:20 +0000 2018,66,RT @BBCFood: See how Mary Berry does Easter at her house: https://t.co/qzrkDoA9fS https://t.co/AOUIOo4tgr
66,BBC,0.8083,0.289,0.711,0.0,Sun Apr 01 11:04:05 +0000 2018,67,Why do we find chocolate so irresistible? 🍫 🤔 This is the secret reason why we love to eat it. 👉… https://t.co/C8FbJAZQ99
67,BBC,0.1695,0.085,0.915,0.0,Sun Apr 01 10:37:30 +0000 2018,68,RT @bbcpress: 🐰🐰🐰 #HappyEaster from @RealBasilBrush - don't forget to watch #GenerationGame tonight on @BBCOne at 8pm after you've finished…
68,BBC,0.4404,0.172,0.828,0.0,Sun Apr 01 10:27:03 +0000 2018,69,From traditional Easter lunch to laid-back seasonal feasts: @BBCFood have Easter entertaining covered. 🐣🍫🐰🍴 https://t.co/PT7uD9UIvn
69,BBC,0.6705,0.224,0.776,0.0,Sun Apr 01 10:03:08 +0000 2018,70,🍫🐣🎶 @Stormzy1's cover of Sweet Like Chocolate from the @BBCR1 Live Lounge is an eggs-cellent way to start your East… https://t.co/IHlTGrkmfv
70,BBC,0.6705,0.216,0.784,0.0,Sun Apr 01 09:24:05 +0000 2018,71,"""I feel like I'm part of something"". ❤️️ 👂🏼 🍺 Welcome to Deaf Pub, a place where members of the deaf community can… https://t.co/kRwHqCBUrI"
71,BBC,0.8126,0.712,0.288,0.0,Sun Apr 01 08:32:07 +0000 2018,72,❤️😢 Man's best friend. https://t.co/xE4rkcBJNv
72,BBC,0.3947,0.113,0.887,0.0,Sat Mar 31 21:15:00 +0000 2018,73,"RT @bbc5live: More parents are giving presents rather than Easter eggs to tackle obesity, according to new research🍫🍫

Are you rationing yo…"
73,BBC,-0.1511,0.0,0.883,0.117,Sat Mar 31 20:42:07 +0000 2018,74,"This seven-week-old jaguar is on a serious mission! 😼 

#BigCatsAboutTheHouse is available on @BBCiPlayer:… https://t.co/FlxS0N0syY"
74,BBC,0.5719,0.198,0.802,0.0,Sat Mar 31 18:37:18 +0000 2018,75,"RT @CBeebiesHQ: Eddie's ready, are you? 😁

Join him for a NEW #BedtimeStory 📚💤
 
He reads 'Big little Hippo' tonight at 6:50pm ✨ https://t.…"
75,BBC,0.5574,0.235,0.765,0.0,Sat Mar 31 18:02:02 +0000 2018,76,"From creation to hatching, David Attenborough reveals the wonder behind eggs. 🥚🐦 

Natural World: Attenborough's Wo… https://t.co/MEsvf2J89N"
76,BBC,-0.2023,0.136,0.739,0.125,Sat Mar 31 17:09:06 +0000 2018,77,What makes Raquel Meseguer want to lie down in public — no matter where she is?  https://t.co/I7DeEph5iD
77,BBC,0.0,0.0,1.0,0.0,Sat Mar 31 16:31:15 +0000 2018,78,"RT @BBCWthrWatchers: If this photo doesn't suggest 'Easter', then what does?  Ruthy has captured the moment in Nantmel, Powys. https://t.co…"
78,BBC,0.0,0.0,1.0,0.0,Sat Mar 31 16:15:07 +0000 2018,79,"Easter music and readings from the Chapel of @Kings_College, Cambridge. ⛪️ 🎶

Easter from King's | 6:15pm | @BBCTwo… https://t.co/IrttRAqpPA"
79,BBC,0.0,0.0,1.0,0.0,Sat Mar 31 15:43:37 +0000 2018,80,"RT @bbcthree: Someone's knitting cosy Easter postbox hats
https://t.co/XR2G6cj50y https://t.co/PsgJeP6f02"
80,BBC,0.7717,0.242,0.758,0.0,Sun Apr 01 12:19:34 +0000 2018,81,"RT @bbcweather: As the RAF celebrates 100 years since its formation, here is a rather serene view of this morning's weather at #RAF #Lossie…"
81,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 12:14:27 +0000 2018,82,Our favourite #AprilFoolsDay was when spaghetti grew on trees in 1957. https://t.co/qRGuM9NnRZ
82,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 12:00:24 +0000 2018,83,Could poetry be used as a form of therapy? https://t.co/pw2hBG3heY
83,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 11:23:47 +0000 2018,84,RT @BBCOne: How not to prank your family this Easter. https://t.co/SMXFIukYMJ
84,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 11:19:57 +0000 2018,85,RT @bbcpress: Julien lives! @TchekyKaryo reprises his role as #TheMissing's Julien Baptiste in gripping new @BBCOne drama #Baptiste: https:…
85,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 11:18:20 +0000 2018,86,RT @BBCFood: See how Mary Berry does Easter at her house: https://t.co/qzrkDoA9fS https://t.co/AOUIOo4tgr
86,BBC,0.8083,0.289,0.711,0.0,Sun Apr 01 11:04:05 +0000 2018,87,Why do we find chocolate so irresistible? 🍫 🤔 This is the secret reason why we love to eat it. 👉… https://t.co/C8FbJAZQ99
87,BBC,0.1695,0.085,0.915,0.0,Sun Apr 01 10:37:30 +0000 2018,88,RT @bbcpress: 🐰🐰🐰 #HappyEaster from @RealBasilBrush - don't forget to watch #GenerationGame tonight on @BBCOne at 8pm after you've finished…
88,BBC,0.4404,0.172,0.828,0.0,Sun Apr 01 10:27:03 +0000 2018,89,From traditional Easter lunch to laid-back seasonal feasts: @BBCFood have Easter entertaining covered. 🐣🍫🐰🍴 https://t.co/PT7uD9UIvn
89,BBC,0.6705,0.224,0.776,0.0,Sun Apr 01 10:03:08 +0000 2018,90,🍫🐣🎶 @Stormzy1's cover of Sweet Like Chocolate from the @BBCR1 Live Lounge is an eggs-cellent way to start your East… https://t.co/IHlTGrkmfv
90,BBC,0.6705,0.216,0.784,0.0,Sun Apr 01 09:24:05 +0000 2018,91,"""I feel like I'm part of something"". ❤️️ 👂🏼 🍺 Welcome to Deaf Pub, a place where members of the deaf community can… https://t.co/kRwHqCBUrI"
91,BBC,0.8126,0.712,0.288,0.0,Sun Apr 01 08:32:07 +0000 2018,92,❤️😢 Man's best friend. https://t.co/xE4rkcBJNv
92,BBC,0.3947,0.113,0.887,0.0,Sat Mar 31 21:15:00 +0000 2018,93,"RT @bbc5live: More parents are giving presents rather than Easter eggs to tackle obesity, according to new research🍫🍫

Are you rationing yo…"
93,BBC,-0.1511,0.0,0.883,0.117,Sat Mar 31 20:42:07 +0000 2018,94,"This seven-week-old jaguar is on a serious mission! 😼 

#BigCatsAboutTheHouse is available on @BBCiPlayer:… https://t.co/FlxS0N0syY"
94,BBC,0.5719,0.198,0.802,0.0,Sat Mar 31 18:37:18 +0000 2018,95,"RT @CBeebiesHQ: Eddie's ready, are you? 😁

Join him for a NEW #BedtimeStory 📚💤
 
He reads 'Big little Hippo' tonight at 6:50pm ✨ https://t.…"
95,BBC,0.5574,0.235,0.765,0.0,Sat Mar 31 18:02:02 +0000 2018,96,"From creation to hatching, David Attenborough reveals the wonder behind eggs. 🥚🐦 

Natural World: Attenborough's Wo… https://t.co/MEsvf2J89N"
96,BBC,-0.2023,0.136,0.739,0.125,Sat Mar 31 17:09:06 +0000 2018,97,What makes Raquel Meseguer want to lie down in public — no matter where she is?  https://t.co/I7DeEph5iD
97,BBC,0.0,0.0,1.0,0.0,Sat Mar 31 16:31:15 +0000 2018,98,"RT @BBCWthrWatchers: If this photo doesn't suggest 'Easter', then what does?  Ruthy has captured the moment in Nantmel, Powys. https://t.co…"
98,BBC,0.0,0.0,1.0,0.0,Sat Mar 31 16:15:07 +0000 2018,99,"Easter music and readings from the Chapel of @Kings_College, Cambridge. ⛪️ 🎶

Easter from King's | 6:15pm | @BBCTwo… https://t.co/IrttRAqpPA"
99,BBC,0.0,0.0,1.0,0.0,Sat Mar 31 15:43:37 +0000 2018,100,"RT @bbcthree: Someone's knitting cosy Easter postbox hats
https://t.co/XR2G6cj50y https://t.co/PsgJeP6f02"
100,CBS,0.0,0.0,1.0,0.0,Sat Mar 31 18:00:00 +0000 2018,1,"“If you don’t do something about it, then who are you? … It can happen to anyone.” - @aplusk 

Tonight at 10/9c, a… https://t.co/EQabNc1UZI"
101,CBS,0.4199,0.113,0.887,0.0,Sat Mar 31 15:30:00 +0000 2018,2,Give it up for @KelseaBallerini! This star is one of the Female Vocalist Of The Year nominees and she's ready to ta… https://t.co/wLyHwkEGs2
102,CBS,0.4926,0.127,0.873,0.0,Fri Mar 30 16:50:00 +0000 2018,3,Take and post a photo of the woman in your life who inspires you! The photo should only have one person against a n… https://t.co/BHdxXlWfKP
103,CBS,0.0,0.0,1.0,0.0,Thu Mar 29 17:32:40 +0000 2018,4,"Expect epic performances by @kanebrown , @kelly_clarkson, @OfficialJackson, and more at this year's 53rd #ACMawards… https://t.co/3yso7Z0cjv"
104,CBS,0.0,0.0,1.0,0.0,Thu Mar 29 17:30:02 +0000 2018,5,"Will @HIGHVALLEY, @LancoMusic, @LOCASHmusic, @MidlandOfficial, or @runawayjune be named New Vocal Duo Or Group Of T… https://t.co/v0QIPLC47R"
105,CBS,0.3818,0.212,0.68,0.108,Tue Mar 27 21:00:01 +0000 2018,6,Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu
106,CBS,0.296,0.099,0.901,0.0,Tue Mar 27 17:00:00 +0000 2018,7,Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorab… https://t.co/jz0jaShZIj
107,CBS,0.508,0.12,0.88,0.0,Mon Mar 26 22:14:25 +0000 2018,8,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…"
108,CBS,0.0,0.0,1.0,0.0,Mon Mar 26 20:42:48 +0000 2018,9,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…"
109,CBS,0.7959,0.214,0.786,0.0,Mon Mar 26 16:59:19 +0000 2018,10,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…
110,CBS,0.807,0.378,0.622,0.0,Mon Mar 26 16:05:18 +0000 2018,11,"Congratulations to the 53rd #ACMawards New Artist winners @Lauren_Alaina, @MidlandOfficial, and @BrettYoungMusic! W… https://t.co/Fr8H4arwGj"
111,CBS,0.0,0.0,1.0,0.0,Sun Mar 25 23:57:34 +0000 2018,12,New start times in East/Central Time Zones #60Minutes 7:35ET/6:35CT #Instinct  8:35ET/7:35CT #NCISLA 9:35ET/8:35CT… https://t.co/8W5hAeLrvs
112,CBS,0.5319,0.157,0.78,0.062,Sun Mar 25 17:15:25 +0000 2018,13,Don’t miss a minute of the action. Stream the Elite Eight® games LIVE today starting at 2PM ET with a FREE trial of… https://t.co/8NwU8HdiHR
113,CBS,0.5399,0.199,0.801,0.0,Sat Mar 24 22:46:53 +0000 2018,14,RT @MomCBS: That's a wrap on the #Mom panel at #PaleyFest! Thanks for following along! https://t.co/we4JgqPt6P
114,CBS,-0.34,0.115,0.7,0.185,Sat Mar 24 22:46:43 +0000 2018,15,RT @MomCBS: A fan just commented that #Mom helped bring him out of a deep depression. 💜💜💜 #PaleyFest
115,CBS,0.7003,0.209,0.791,0.0,Sat Mar 24 22:25:03 +0000 2018,16,"RT @MomCBS: ""Go out for it anyway. If you're good for the role, you're good for the role."" @theJaimePressly's advice for aspiring actors wi…"
116,CBS,0.0,0.0,1.0,0.0,Sat Mar 24 22:21:37 +0000 2018,17,RT @MomCBS: Mom Co-Creator @GemmaRBaker just pointed out her own #Mom in the audience at #PaleyFest! 💜
117,CBS,0.0,0.0,1.0,0.0,Sat Mar 24 22:21:34 +0000 2018,18,"RT @MomCBS: ""I'm not someone in recovery who goes to AA, but I have taken so much away from it...to take one day at a time."" - @theJaimePre…"
118,CBS,0.7184,0.333,0.667,0.0,Sat Mar 24 22:21:26 +0000 2018,19,"RT @MomCBS: ""You get to appreciate working with such talented people."" - @AnnaKFaris #Mom #PaleyFest"
119,CBS,0.9451,0.42,0.58,0.0,Sat Mar 24 22:21:23 +0000 2018,20,RT @MomCBS: “I love this job. I love working with these women. I love working in front of the live audience… It’s alive and it’s fun.” - @A…
120,CBS,0.0,0.0,1.0,0.0,Sat Mar 31 18:00:00 +0000 2018,21,"“If you don’t do something about it, then who are you? … It can happen to anyone.” - @aplusk 

Tonight at 10/9c, a… https://t.co/EQabNc1UZI"
121,CBS,0.4199,0.113,0.887,0.0,Sat Mar 31 15:30:00 +0000 2018,22,Give it up for @KelseaBallerini! This star is one of the Female Vocalist Of The Year nominees and she's ready to ta… https://t.co/wLyHwkEGs2
122,CBS,0.4926,0.127,0.873,0.0,Fri Mar 30 16:50:00 +0000 2018,23,Take and post a photo of the woman in your life who inspires you! The photo should only have one person against a n… https://t.co/BHdxXlWfKP
123,CBS,0.0,0.0,1.0,0.0,Thu Mar 29 17:32:40 +0000 2018,24,"Expect epic performances by @kanebrown , @kelly_clarkson, @OfficialJackson, and more at this year's 53rd #ACMawards… https://t.co/3yso7Z0cjv"
124,CBS,0.0,0.0,1.0,0.0,Thu Mar 29 17:30:02 +0000 2018,25,"Will @HIGHVALLEY, @LancoMusic, @LOCASHmusic, @MidlandOfficial, or @runawayjune be named New Vocal Duo Or Group Of T… https://t.co/v0QIPLC47R"
125,CBS,0.3818,0.212,0.68,0.108,Tue Mar 27 21:00:01 +0000 2018,26,Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu
126,CBS,0.296,0.099,0.901,0.0,Tue Mar 27 17:00:00 +0000 2018,27,Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorab… https://t.co/jz0jaShZIj
127,CBS,0.508,0.12,0.88,0.0,Mon Mar 26 22:14:25 +0000 2018,28,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…"
